Instance....: instances/I_150_25_S_1-49_6.txt
Algorithm...: Simulated Annealing (alpha=0.990, saMax=10M, t0=1)
Other params: maxIters=100M, seed=-1, timeLimit=3600.00s

    /--------------------------------------------------------\
    |     Iter |   RDP(%) |       S* |       S' |       Time | 
    |     4116 |        - |      181 |      181 |       0.22 | *
    |     4162 |        - |      178 |      178 |       0.22 | *
    |     4172 |        - |      176 |      176 |       0.22 | *
    |     4263 |        - |      175 |      175 |       0.22 | *
    |     4478 |        - |      174 |      174 |       0.23 | *
    |     5204 |        - |      173 |      173 |       0.23 | *
    |     5222 |        - |      172 |      172 |       0.23 | *
    |     5250 |        - |      171 |      171 |       0.23 | *
    |     5259 |        - |      170 |      170 |       0.23 | *
    |     5453 |        - |      169 |      169 |       0.24 | *
    |     5675 |        - |      168 |      168 |       0.24 | *
    |     5682 |        - |      167 |      167 |       0.24 | *
    |     5861 |        - |      166 |      166 |       0.24 | *
    |     5889 |        - |      165 |      165 |       0.24 | *
    |     5897 |        - |      164 |      164 |       0.24 | *
    |     5959 |        - |      162 |      162 |       0.24 | *
    |     6019 |        - |      161 |      161 |       0.24 | *
    |     6198 |        - |      160 |      160 |       0.25 | *
    |     6445 |        - |      159 |      159 |       0.25 | *
    |     6472 |        - |      158 |      158 |       0.25 | *
    |     6667 |        - |      157 |      157 |       0.25 | *
    |     6756 |        - |      156 |      156 |       0.25 | *
    |     7034 |        - |      155 |      155 |       0.25 | *
    |     7206 |        - |      154 |      154 |       0.25 | *
    |     7551 |        - |      153 |      153 |       0.26 | *
    |     7709 |        - |      152 |      152 |       0.26 | *
    |     7864 |        - |      151 |      151 |       0.26 | *
    |     7989 |        - |      150 |      150 |       0.26 | *
    |     8024 |        - |      148 |      148 |       0.26 | *
    |     8167 |        - |      147 |      147 |       0.26 | *
    |     8184 |        - |      146 |      146 |       0.26 | *
    |     8185 |        - |      145 |      145 |       0.27 | *
    |     8296 |        - |      144 |      144 |       0.27 | *
    |     8362 |        - |      143 |      143 |       0.27 | *
    |     8538 |        - |      142 |      142 |       0.27 | *
    |     8542 |        - |      141 |      141 |       0.27 | *
    |     8838 |        - |      140 |      140 |       0.27 | *
    |     9166 |        - |      139 |      139 |       0.27 | *
    |     9277 |        - |      138 |      138 |       0.28 | *
    |     9586 |        - |      137 |      137 |       0.28 | *
    |     9769 |        - |      136 |      136 |       0.28 | *
    |     9793 |        - |      135 |      135 |       0.28 | *
    |      10K |        - |      134 |      134 |       0.28 | *
    |      12K |        - |      133 |      133 |       0.29 | *
    |      12K |        - |      132 |      132 |       0.29 | *
    |      12K |        - |      131 |      131 |       0.29 | *
    |      12K |        - |      129 |      129 |       0.29 | *
    |      12K |        - |      128 |      128 |       0.29 | *
    |      13K |        - |      127 |      127 |       0.30 | *
    |      14K |        - |      126 |      126 |       0.30 | *
    |      14K |        - |      125 |      125 |       0.30 | *
    |      14K |        - |      124 |      124 |       0.30 | *
    |      14K |        - |      123 |      123 |       0.30 | *
    |      15K |        - |      122 |      122 |       0.30 | *
    |      16K |        - |      121 |      121 |       0.30 | *
    |      16K |        - |      120 |      120 |       0.31 | *
    |      16K |        - |      119 |      119 |       0.31 | *
    |      17K |        - |      117 |      117 |       0.31 | *
    |      18K |        - |      116 |      116 |       0.31 | *
    |      18K |        - |      115 |      115 |       0.31 | *
    |      18K |        - |      114 |      114 |       0.32 | *
    |      19K |        - |      113 |      113 |       0.32 | *
    |      20K |        - |      112 |      112 |       0.32 | *
    |      22K |        - |      111 |      111 |       0.33 | *
    |      23K |        - |      110 |      110 |       0.33 | *
    |      24K |        - |      108 |      108 |       0.34 | *
    |      25K |        - |      107 |      107 |       0.34 | *
    |      30K |        - |      106 |      106 |       0.35 | *
    |      30K |        - |      105 |      105 |       0.36 | *
    |      31K |        - |      104 |      104 |       0.36 | *
    |      31K |        - |      103 |      103 |       0.36 | *
    |      34K |        - |      102 |      102 |       0.37 | *
    |      35K |        - |      101 |      101 |       0.37 | *
    |      36K |        - |      100 |      100 |       0.37 | *
    |      40K |        - |       99 |       99 |       0.39 | *
    |      44K |        - |       98 |       98 |       0.40 | *
    |      45K |        - |       97 |       97 |       0.40 | *
    |      47K |        - |       96 |       96 |       0.41 | *
    |      51K |        - |       95 |       95 |       0.42 | *
    |      62K |        - |       94 |       94 |       0.46 | *
    |      67K |        - |       93 |       93 |       0.47 | *
    |      67K |        - |       92 |       92 |       0.47 | *
    |      76K |        - |       91 |       91 |       0.50 | *
    |      99K |        - |       90 |       90 |       0.56 | *
    |     102K |        - |       89 |       89 |       0.57 | *
    |     104K |        - |       88 |       88 |       0.58 | *
    |     106K |        - |       87 |       87 |       0.58 | *
    |     114K |        - |       86 |       86 |       0.61 | *
    |     116K |        - |       85 |       85 |       0.61 | *
    |     116K |        - |       84 |       84 |       0.61 | *
    |     140K |        - |       83 |       83 |       0.69 | *
    |     140K |        - |       82 |       82 |       0.69 | *
    |     183K |        - |       81 |       81 |       0.85 | *
    |     232K |        - |       80 |       80 |       1.01 | *
    |     240K |        - |       79 |       79 |       1.04 | *
    |     367K |        - |       78 |       78 |       1.30 | *
    |     378K |        - |       77 |       77 |       1.32 | *
    |     378K |        - |       76 |       76 |       1.32 | *
    |     511K |        - |       75 |       75 |       1.49 | *
    |     553K |        - |       74 |       74 |       1.54 | *
    |     568K |        - |       73 |       73 |       1.55 | *
    |     568K |        - |       72 |       72 |       1.55 | *
    |    1111K |        - |       71 |       71 |       2.00 | *
    |    1112K |        - |       70 |       70 |       2.00 | *
    |    2221K |        - |       69 |       69 |       2.78 | *
    |    3179K |        - |       68 |       68 |       3.49 | *
    |    3527K |        - |       67 |       67 |       3.88 | *
    |    4205K |        - |       66 |       66 |       4.76 | *
    |    7248K |        - |       65 |       65 |       7.02 | *
    |    8498K |        - |       64 |       64 |       7.85 | *
    |      22M |        - |       63 |       63 |      16.77 | *
    |     152M |        - |       62 |       62 |     104.05 | *
    |     152M |        - |       61 |       61 |     104.13 | *
    |     255M |        - |       60 |       60 |     172.64 | *
    |     287M |        - |       59 |       59 |     194.48 | *
    |     459M |        - |       58 |       58 |     309.55 | *
    |     479M |        - |       57 |       57 |     323.01 | *
    |     485M |        - |       56 |       56 |     326.63 | *
    |    1013M |        - |       55 |       55 |     679.30 | *
    \--------------------------------------------------------/

Neighborhoods statistics (values in %):

    /----------------------------------------------------------------\
    | Move               | Improvs. | Sideways |  Accepts |  Rejects |
    |--------------------|----------|----------|----------|----------|
    | Shift(mk)          |      86K |     395K |     518K |     231M |
    | Shift              |     3480 |    4235K |    4299K |     227M |
    | ShiftSmart(mk)     |     366K |    1875K |    2402K |     229M |
    | ShiftSmart         |      15K |      15M |      15M |     216M |
    | SimpSwap(mk)       |      481 |     1223 |     1909 |     231M |
    | SimpSwap           |       46 |     5142 |     5663 |     231M |
    | SimpSwapSmart(mk)  |     2313 |     6297 |     9628 |     231M |
    | SimpSwapSmart      |      181 |      25K |      27K |     231M |
    | Swap(mk)           |      186 |      505 |      763 |     231M |
    | Swap               |       15 |     2489 |     2716 |     231M |
    | SwapSmart(mk)      |     2510 |     7893 |      12K |     231M |
    | SwapSmart          |      212 |      37K |      39K |     231M |
    | Switch(mk)         |      28K |      39M |      39M |     192M |
    | Switch             |     1122 |      41M |      42M |     190M |
    | SwitchSmart(mk)    |     116K |     666K |     816K |     231M |
    | SwitchSmart        |     4646 |    4951K |    5040K |     226M |
    | TaskMove(mk)       |     3795 |      55K |      60K |     231M |
    | TaskMove           |      197 |      43K |      45K |     231M |
    | TaskMoveSmart(mk)  |      19K |     297K |     325K |     231M |
    | TaskMoveSmart      |      888 |     233K |     245K |     231M |
    | 2-Shift(mk)        |      44K |    8389K |    8451K |     223M |
    | 2-Shift            |     1763 |      12M |      12M |     220M |
    | 2-ShiftSmart(mk)   |     162K |      11M |      11M |     220M |
    | 2-ShiftSmart       |     6576 |      19M |      20M |     212M |
    \----------------------------------------------------------------/

Best makespan.....: 55
N. of Iterations..: 5550868873
Total runtime.....: 3600.03s
Using Python-MIP package version 1.6.8
Começo a execução
    /-------------------------------------------------------------------------------\
    |    Makespan   |   Free Jobs   | Free Machines |    It. Time   |   Total Time  | 
    |-------------------------------------------------------------------------------|
    \-------------------------------------------------------------------------------/
Terminou a execução
